control_id,control_description,m365_workload,graph_or_ps_reference,framework,framework_ref,coverage_type,evidence_artefact,notes
m365.exchange.priority-account-protect,Priority account protection enabled,exchange,Get-AntiPhishPolicy impersonation,cis-m365,2.4.1,primary,defender.priority-accounts.json,L1 - Defender for O365 P2
m365.exchange.priority-account-strict,Priority accounts have Strict protection presets,exchange,Get-ATPProtectionPolicyRule,cis-m365,2.4.2,primary,defender.presets.strict.priority.json,L1
m365.exchange.mailbox-audit,Mailbox auditing tenant-wide,exchange,Get-OrganizationConfig AuditDisabled,cis-m365,6.1.1,primary,exchange.auditDisabled.json,L1
m365.exchange.mailbox-audit-actions,Mailbox audit actions configured,exchange,Get-Mailbox Audit*,cis-m365,6.1.2,primary,exchange.mailbox.auditActions.json,L1
m365.exchange.external-sender-banner,External sender banner transport rule,exchange,Get-TransportRule ExternalSender,cis-m365,6.2.3,primary,exchange.rule.externalSender.json,L1
m365.exchange.outbound-spam-limits,Outbound anti-spam message limits,exchange,Get-HostedOutboundSpamFilterPolicy,cis-m365,2.1.15,primary,exchange.outboundSpam.json,L1
m365.exchange.outbound-spam-limits,Outbound anti-spam message limits,exchange,Get-HostedOutboundSpamFilterPolicy,dora,Art 10,partial,exchange.outboundSpam.json,Detection - compromised account exfil signal
m365.purview.audit.unified-log-enabled,Microsoft 365 audit log search enabled,purview,Get-AdminAuditLogConfig UnifiedAuditLogIngestionEnabled,cis-m365,3.1.1,primary,purview.audit.config.json,L1 - must be on before any audit evidence is meaningful
m365.purview.audit.unified-log-enabled,Microsoft 365 audit log search enabled,purview,Get-AdminAuditLogConfig UnifiedAuditLogIngestionEnabled,dora,Art 10,partial,purview.audit.config.json,Detection layer
m365.purview.audit.unified-log-enabled,Microsoft 365 audit log search enabled,purview,Get-AdminAuditLogConfig UnifiedAuditLogIngestionEnabled,nis2,Art 21(2)(b),partial,purview.audit.config.json,Incident handling evidentiary foundation
m365.purview.audit.unified-log-enabled,Microsoft 365 audit log search enabled,purview,Get-AdminAuditLogConfig UnifiedAuditLogIngestionEnabled,hipaa,§164.312(b),primary,purview.audit.config.json,Audit Controls
m365.purview.dlp.enabled,DLP policies enabled,purview,Get-DlpCompliancePolicy,cis-m365,3.2.1,primary,purview.dlp.json,L1
m365.purview.dlp.enabled,DLP policies enabled,purview,Get-DlpCompliancePolicy,dora,Art 9(2)(c),primary,purview.dlp.json,Confidentiality protection
m365.purview.dlp.enabled,DLP policies enabled,purview,Get-DlpCompliancePolicy,nis2,Art 21(2)(a),partial,purview.dlp.json,
m365.purview.dlp.enabled,DLP policies enabled,purview,Get-DlpCompliancePolicy,hipaa,§164.308(a)(1)(ii)(D),partial,purview.dlp.json,Info system activity review - exfil detection
m365.purview.dlp.teams,DLP policies for Microsoft Teams,purview,Get-DlpCompliancePolicy scope Teams,cis-m365,3.2.2,primary,purview.dlp.teams.json,L1
m365.purview.sensitivity-labels.published,Sensitivity label policies published,purview,Get-LabelPolicy,cis-m365,3.3.1,primary,purview.label.policies.json,L1
m365.purview.sensitivity-labels.published,Sensitivity label policies published,purview,Get-LabelPolicy,dora,Art 9(2)(c),primary,purview.label.policies.json,Data authenticity/confidentiality
m365.purview.sensitivity-labels.published,Sensitivity label policies published,purview,Get-LabelPolicy,nis2,Art 21(2)(h),primary,purview.label.policies.json,Cryptography / encryption policy
m365.purview.sensitivity-labels.published,Sensitivity label policies published,purview,Get-LabelPolicy,hipaa,§164.312(a)(2)(iv),primary,purview.label.policies.json,Encryption
m365.intune.compliance.gate,Devices without compliance policy are non-compliant,intune,/deviceManagement/deviceCompliancePolicies default,cis-m365,4.1,primary,intune.nocompliance.default.json,L2 - gates CA
m365.intune.enrollment.personal-blocked,Personal device enrollment blocked by default,intune,Get-MgDeviceManagementDeviceEnrollmentConfiguration,cis-m365,4.2,primary,intune.enrollment.restrictions.json,L2
m365.intune.compliance.gate,Devices without compliance policy are non-compliant,intune,/deviceManagement/deviceCompliancePolicies default,dora,Art 7,partial,intune.nocompliance.default.json,Up-to-date reliable ICT systems
m365.intune.compliance.gate,Devices without compliance policy are non-compliant,intune,/deviceManagement/deviceCompliancePolicies default,nis2,Art 21(2)(e),partial,intune.nocompliance.default.json,Vulnerability handling
m365.intune.compliance.gate,Devices without compliance policy are non-compliant,intune,/deviceManagement/deviceCompliancePolicies default,hipaa,§164.310(c),primary,intune.nocompliance.default.json,Workstation security
m365.defender.mdca,Defender for Cloud Apps enabled and configured,defender,/cloudAppSecurity/portalState (MDA API),cis-m365,2.4.3,primary,defender.mdca.json,L2
m365.defender.mdca,Defender for Cloud Apps enabled and configured,defender,/cloudAppSecurity/portalState (MDA API),dora,Art 10,partial,defender.mdca.json,Detection layer
m365.defender.mdca,Defender for Cloud Apps enabled and configured,defender,/cloudAppSecurity/portalState (MDA API),nis2,Art 21(2)(b),partial,defender.mdca.json,Incident handling
m365.defender.zap-teams,Zero-hour auto purge for Microsoft Teams,defender,Get-TeamsProtectionPolicy,cis-m365,2.4.4,primary,defender.zap.teams.json,L1
m365.sharepoint.sharing-capability,SharePoint external content sharing restricted,sharepoint,Get-SPOTenant SharingCapability,cis-m365,7.2.3,primary,sharepoint.sharing.json,L1
m365.sharepoint.sharing-capability,SharePoint external content sharing restricted,sharepoint,Get-SPOTenant SharingCapability,dora,Art 9(2)(c),partial,sharepoint.sharing.json,Confidentiality
m365.sharepoint.sharing-capability,SharePoint external content sharing restricted,sharepoint,Get-SPOTenant SharingCapability,hipaa,§164.502,partial,sharepoint.sharing.json,Privacy Rule - minimum necessary
m365.sharepoint.link-sharing,Link sharing restricted in SP and OD,sharepoint,Get-SPOTenant DefaultSharingLinkType,cis-m365,7.2.7,primary,sharepoint.linkSharing.json,L1
m365.sharepoint.guest-expire,Guest access expires automatically,sharepoint,Get-SPOTenant ExternalUserExpirationRequired,cis-m365,7.2.9,primary,sharepoint.guestExpiry.json,L1
m365.sharepoint.guest-expire,Guest access expires automatically,sharepoint,Get-SPOTenant ExternalUserExpirationRequired,nis2,Art 21(2)(d),partial,sharepoint.guestExpiry.json,Supply chain - guest lifecycle
m365.teams.federation.restricted,External domains restricted in Teams admin center,teams,Get-CsTenantFederationConfiguration,cis-m365,8.2.1,primary,teams.federation.json,L2
m365.teams.unmanaged-blocked,Communication with unmanaged Teams users disabled,teams,Get-CsTenantFederationConfiguration AllowTeamsConsumer,cis-m365,8.2.2,primary,teams.unmanaged.json,L1
m365.teams.anonymous-no-join,Anonymous users cannot join meetings,teams,Get-CsTeamsMeetingPolicy AllowAnonymousUsersToJoinMeeting,cis-m365,8.5.1,primary,teams.meeting.anonymous.json,L2
m365.teams.lobby-bypass,Only people in org can bypass lobby,teams,Get-CsTeamsMeetingPolicy AutoAdmittedUsers,cis-m365,8.5.3,primary,teams.meeting.lobby.json,L1
m365.teams.app-permission,App permission policies configured,teams,Get-CsTeamsAppPermissionPolicy,cis-m365,8.4.1,primary,teams.app.permission.json,L1
m365.powerbi.publish-to-web,Publish to web restricted,powerbi,Power BI Admin API PublishToWeb,cis-m365,9.1.4,primary,powerbi.publishToWeb.json,L1
m365.powerbi.guest-restricted,Power BI guest user access restricted,powerbi,Power BI Admin API,cis-m365,9.1.1,primary,powerbi.guest.json,L1
m365.powerbi.service-principals-restricted,Service principal access to Power BI APIs restricted,powerbi,Power BI Admin API,cis-m365,9.1.10,primary,powerbi.sp.apis.json,L1
